Image_Name,median_date,latitude,longitude,painter,school,dutch_core,habitat
170.jpg,1652.5,52.25,5.75,Aelbert Cuyp,Dutch & Northern,TRUE,river/lakeside landscape
171.jpg,1670,52.25,5.75,Jan Wijnants,Dutch & Northern,TRUE,open countryside
172.jpg,1642,52.25,5.75,Jan van Goyen,Dutch & Northern,TRUE,river/lakeside landscape
173.jpg,1689,51.75,4.15,Meindert Hobbema,Dutch & Northern,TRUE,urban/architectural landscape
174.jpg,1665,52.380745,4.644004,Meindert Hobbema,Dutch & Northern,TRUE,woodland landscape
175.jpg,1645,52.25,5.75,Aert van der Neer,Dutch & Northern,TRUE,river/lakeside landscape
176.jpg,1647,52.25,5.75,Paulus Potter,Dutch & Northern,TRUE,open countryside
177.jpg,1647.5,52.25,5.75,Jacob van Ruisdael,Dutch & Northern,TRUE,open countryside
178.jpg,1623,52.25,5.75,Esaias van de Velde,Dutch & Northern,TRUE,open countryside
179.jpg,1659,52.366667,4.65,Jan Wijnants,Dutch & Northern,TRUE,open countryside
18.jpg,1759,52.5619,-1.4649,Thomas Gainsborough,Rococo & Arcadian,FALSE,woodland landscape
180.jpg,1667.5,52.366667,4.65,Jan Wijnants,Dutch & Northern,TRUE,mountain/rocky landscape
181.jpg,1655,52.25,5.75,Joris van der Haagen,Dutch & Northern,TRUE,river/lakeside landscape
182.jpg,1667.5,52.366667,4.65,Jacob van Ruisdael,Dutch & Northern,TRUE,river/lakeside landscape
183.jpg,1659,51.799015,4.741591,Aelbert Cuyp,Dutch & Northern,TRUE,river/lakeside landscape
184.jpg,1667.5,52.3768910245777,6.98106835764994,Meindert Hobbema,Dutch & Northern,TRUE,river/lakeside landscape
185.jpg,1655,52.25,5.75,Philips Koninck,Dutch & Northern,TRUE,open countryside
186.jpg,1648,52.380745,4.644004,Jacob van Ruisdael,Dutch & Northern,TRUE,river/lakeside landscape
187.jpg,1659,52.366667,4.65,Cornelis van der Schalcke,Dutch & Northern,TRUE,open countryside
188.jpg,1658,52.2215707822121,5.0366787117939,Jan Beerstraaten,Dutch & Northern,TRUE,urban/architectural landscape
189.jpg,1670,52.25,5.75,Philips Koninck,Dutch & Northern,TRUE,open countryside
19.jpg,1786,52.5,-1.25,Thomas Gainsborough,Rococo & Arcadian,FALSE,woodland landscape
190.jpg,1644.5,52.25,5.75,Isack van Ostade,Dutch & Northern,TRUE,river/lakeside landscape
191.jpg,1675,52.616667,4.633333,Jacob van Ruisdael,Dutch & Northern,TRUE,coastal landscape
192.jpg,1632,52.25,5.75,Salomon van Ruysdael,Dutch & Northern,TRUE,river/lakeside landscape
193.jpg,1667,52.380745,4.644004,Jan Wijnants,Dutch & Northern,TRUE,open countryside
194.jpg,1659,52.380745,4.644004,Philips Wouwerman,Dutch & Northern,TRUE,river/lakeside landscape
195.jpg,1615,52.25,5.75,Hendrick Avercamp,Dutch & Northern,TRUE,urban/architectural landscape
196.jpg,1657.5,52.25,5.75,Aelbert Cuyp,Dutch & Northern,TRUE,open countryside
197.jpg,1657.5,51.841679,5.838129,Aelbert Cuyp,Dutch & Northern,TRUE,open countryside
198.jpg,1651,52.25,5.75,Paulus Potter,Dutch & Northern,TRUE,open countryside
199.jpg,1665,51.916667,4.5,Willem Buytewech the Younger,Dutch & Northern,TRUE,open countryside
2.jpg,1636,51.213886,4.401514,Peter Paul Rubens,Baroque,FALSE,open countryside
20.jpg,1826,51.96456,1.00966,John Constable,Romanticism,FALSE,open countryside
200.jpg,1664,52.25,5.75,Philips Wouwerman,Dutch & Northern,TRUE,river/lakeside landscape
201.jpg,1645,52.25,5.75,Isack van Ostade,Dutch & Northern,TRUE,open countryside
202.jpg,1652.5,52.3959057252792,4.63593722326699,Jacob van Ruisdael,Dutch & Northern,TRUE,open countryside
