variable,mean,sd,2.5%,97.5%,rhat,ess_bulk,ess_tail,model
b_b3_habitatmountainDrockylandscape,-0.13093707324910941,0.7845710317916457,-1.6237522884297542,1.4257609194696352,1.000119084193117,7943.7104271809885,6158.057365288022,M3
b_b3_habitatopencountryside,0.3710225496154255,0.6248876700835106,-0.8662870892784161,1.576107888545039,1.0003540767878065,7659.939482487506,6588.057717785936,M3
b_b3_habitatriverDlakesidelandscape,0.43167105080608537,0.6036462170516205,-0.7450428175254745,1.5999873302333052,0.9998088050732846,7529.794666944272,6082.456270878273,M3
b_b3_habitaturbanDarchitecturallandscape,0.45834199737824727,0.7291580274607479,-0.9768838359000259,1.8967528531263713,1.0000216045950046,10365.177523760858,6613.583601606337,M3
b_b3_habitatwoodlandlandscape,0.12788721837625291,0.7832553567846834,-1.4111292903911679,1.6615510540505485,1.0009003677258033,9222.190672640676,5535.252094518128,M3
b_b4_date_sc,0.40454453272353375,0.5976725337764334,-0.7652744834903162,1.5782698163490299,1.0009768797117748,9417.837859772346,6199.841947637334,M3
b_b4_lat_sc,-1.0149483837976851,0.4368021209842186,-1.8602272888390252,-0.15718163364392504,0.9999400998416892,8525.400908904378,6718.115822372673,M3
b_b4_lon_sc,0.22689533386228897,0.553379039386048,-0.8724566337395792,1.3027159998293378,0.9999617315475062,8051.374716412727,6578.355429481504,M3
b_b4_habitatmountainDrockylandscape,0.6112970876275929,0.8525531297596086,-1.058549031474398,2.262547151528896,1.0008263690388106,8594.046775328785,6276.660539949759,M3
b_b4_habitatopencountryside,1.5037695797237571,0.6840163412406964,0.1859645035418518,2.806741663115235,1.000139226796234,8725.808923294828,6727.900424310458,M3
b_b4_habitatriverDlakesidelandscape,-1.9502562620346096,0.6783778002656882,-3.2667750696509987,-0.6011291799954132,1.000090792323186,8671.809887676302,6557.071237351148,M3
b_b4_habitaturbanDarchitecturallandscape,-0.7291928483446608,0.7860614097926962,-2.23287926745865,0.8060393759871678,1.0005839752163141,10229.02057212485,5977.581631174291,M3
b_b4_habitatwoodlandlandscape,1.4671020794696015,0.8405403438030596,-0.17474695785357006,3.093983772297383,1.0006012098358499,8186.568710375909,5877.068427002572,M3
sd_painter__b1_Intercept,0.6994682424038309,0.3782394538409182,0.04700733037096711,1.493578430147006,1.0034353112065628,1390.3248958995616,2197.530344416456,M3
sd_painter__b2_Intercept,2.8070252519873096,0.76262122976227,1.15451380573878,4.23865305232901,1.0039101145759892,1071.1549957558955,578.6307580784451,M3
sd_painter__b3_Intercept,0.5083301008729053,0.4162471666971339,0.015675650503230814,1.5270730106845334,1.0009087527610823,2304.4481885290543,3524.5580649680355,M3
sd_painter__b4_Intercept,1.5960150034913032,0.7245547916852254,0.13620656365273556,2.946644362282634,1.0032957615344147,1438.3930806592284,1715.961920805241,M3
cor_painter__b1_Intercept__b2_Intercept,0.42903033496817294,0.30594693812965795,-0.3364717601389695,0.8663118414752095,1.0048882904736431,1017.7038997909087,1442.6503581786653,M3
cor_painter__b1_Intercept__b3_Intercept,-0.06940250097049462,0.3711155641156865,-0.7325626946587968,0.6487246898733797,1.0014978360995874,6355.009724243597,5790.266588318703,M3
cor_painter__b2_Intercept__b3_Intercept,-0.029416172862630575,0.36159082361849776,-0.70475136788902,0.673571479737044,1.0002874370335308,7346.025640546699,5260.200814086203,M3
cor_painter__b1_Intercept__b4_Intercept,0.16021739186782508,0.3385255823991059,-0.5429751162347275,0.7587891137912759,1.0013133505206655,2093.6229183803034,3606.872422731062,M3
cor_painter__b2_Intercept__b4_Intercept,0.28545994896327404,0.2897066976797671,-0.36859810265350695,0.7697624193510749,1.001591179820586,3335.0554322737453,3532.731220602492,M3
cor_painter__b3_Intercept__b4_Intercept,0.14273913808796848,0.3769490192729346,-0.6215057771930951,0.7859184905924895,1.001554014324891,2415.1151420072792,4168.337154104568,M3
